Status;Device ID;Location;Machine;Product;Category;Transaction;TransDate;Type;RCoil;RPrice;RQty;MCoil;MPrice;MQty;LineTotal;TransTotal;Prcd Date;;Count of Transaction;Column Labels;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Red Bull - Energy Drink - Sugar Free;Carbonated;14515778905;01/01/2022;Credit;148;3.5;1;148;3.5;1;3.5;3.5;01/01/2022;;Row Labels;BSQ Mall x1364 - Zales;BSQ Mall x1366 - ATT;Earle Asphalt x1371;EB Public Library x1380;GuttenPlans x1367;Grand Total
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Red Bull - Energy Drink - Sugar Free;Carbonated;14516018629;01/01/2022;Credit;148;3.5;1;148;3.5;1;3.5;5;01/01/2022;;Brunswick Sq Mall;926;746;;;;1672
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Takis - Hot Chilli Pepper & Lime;Food;14516018629;01/01/2022;Credit;123;1.5;1;123;1.5;1;1.5;5;01/01/2022;;Earle Asphalt;;;1024;;;1024
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Takis - Hot Chilli Pepper & Lime;Food;14516020373;01/01/2022;Credit;123;1.5;1;123;1.5;1;1.5;1.5;01/01/2022;;EB Public Library;;;;3056;;3056
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Red Bull - Energy Drink - Sugar Free;Carbonated;14516021756;01/01/2022;Credit;148;3.5;1;148;3.5;1;3.5;3.5;01/01/2022;;GuttenPlans;;;;;3598;3598
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Bai Antioxidant - Brasilia BB;Non Carbonated;14517568743;02/01/2022;Cash;146;2.5;1;146;2.5;1;2.5;2.5;02/01/2022;;Grand Total;926;746;1024;3056;3598;9350
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Miss Vickie's Potato Chip - Sea Salt & Vinega;Food;14518731524;03/01/2022;Cash;114;1.5;1;114;1.5;1;1.5;1.5;02/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Miss Vickie's Potato Chip - Lime & Cracked Pe;Food;14519162059;03/01/2022;Credit;110;1.5;1;110;1.5;1;1.5;1.5;03/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Monster Energy Original;Carbonated;14519670154;03/01/2022;Credit;144;3;1;144;3;1;3;3;03/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Seapoint Farms Dry Roasted Edamame - Wasabi;Food;14520315330;03/01/2022;Credit;134;2.5;1;134;2.5;1;2.5;2.5;03/01/2022;;Row Labels;Max of RPrice;Min of RPrice;Count of Product;Count of Product2;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Snapple Diet Tea - Lemon;Non Carbonated;14520522827;03/01/2022;Cash;143;2.5;1;143;2.5;1;2.5;2.5;03/01/2022;;Brunswick Sq Mall;3.5;1;1672;17.88%;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Skinny Pop Popcorn;Food;14520523909;03/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;03/01/2022;;Earle Asphalt;3;1.25;1024;10.95%;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Stretch Island Fruit Leathers Snacks - Variet;Food;14520526471;03/01/2022;Cash;131;1;1;131;1;1;1;1;03/01/2022;;EB Public Library;5;1;3056;32.68%;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;KitKat - Crisp Wafers;Food;14520549978;03/01/2022;Credit;136;1.75;1;136;1.75;1;1.75;1.75;03/01/2022;;GuttenPlans;3.5;1;3598;38.48%;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Skinny Pop Popcorn;Food;14520565434;03/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;03/01/2022;;Grand Total;5;1;9350;100.00%;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14520852487;03/01/2022;Cash;132;2;1;132;2;1;2;2;03/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Wonderful Pistachios - Variety;Food;14521022594;03/01/2022;Cash;132;2;1;132;2;1;2;2;03/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Monster Energy Original;Carbonated;14521288291;03/01/2022;Credit;146;3;1;146;3;1;3;3;03/01/2022;;;;;;;;
